Description|Ingredient Type|_NDB__NO_|Weight|Measure|Volume|Density|Energy|Protein|Fat|Carbohydrates|Fiber|Sugars|Calcium|Iron|Sodium|Fatty acids|Cholesterol|Vitamin C
Kosher salt|small volume dry||4|1.0 teaspoon|4.92892|0.8115368073|0|0|0|0|0|0|||1120|||
Lard|fats||13|1.0 tablespoon|14.79|0.8789722786|115|0|12.8|0|0|0||||5||
Lemon juice|liquid|"09152"|244|1.0 cup|236.588|1.0313287234|54|0.85|0.59|16.84|0.7|6.15|15|0.2|2|0.098|0|94.4
Lemon zest|small volume dry||2|1.0 teaspoon|4.92892|0.4057684036|1|0|0|0.3|0.2|0.1||||||4%
Lime juice|liquid|"09160"|242|1.0 cup|236.588|1.0228752092|60|1.02|0.17|20.38|1|4.09|34|0.22|5|0.019|0|72.6
Lime zest|small volume dry||2|1.0 teaspoon|4.92892|0.4057684036|1|0|0|0.3|0.2|0.1||||||4%
Litchis, raw|fruit|"09164"|190|1.0 cup|236.588|0.803083842|125|1.58|0.84|31.41|2.5|28.94|10|0.59|2|0.188|0|135.8
Loganberries, frozen|fruit|"09167"|147|1.0 cup|236.588|0.6213332882|81|2.23|0.46|19.14|7.8|11.32|38|0.94|1|0.016|0|22.5
Mace|small volume dry||2|1.0 teaspoon|4.92892|0.4057684036|8|0.1|0.6|0.9|0.3|0||1%|1|0.2|0|1%
Malted barley flour|small volume dry||32|0.25 cup|65.897|0.485606325|105|4|1|20|3|3|1%|5%|3|0|0|
Mangos, pieces|fruit|"09176"|165|1.0 cup|236.588|0.6974149154|99|1.35|0.63|24.72|2.6|22.54|18|0.26|2|0.152|0|60.1
Masa harina|bulk dry||30|0.25 cup|59.147|0.5072108475|100|3|1|21|2|0||||||
Milk, buttermilk, dried|liquid|"01094"|120|1.0 cup|236.588|0.5072108475|464|41.16|6.94|58.8|0|--|1421|0.36|620|4.318|83|6.8
